date,BTC-USD
20240112,42853.16796875
20240115,42511.96875
20240116,43154.9453125
20240117,42742.65234375
20240118,41262.05859375
20240119,41618.40625
20240122,39507.3671875
20240123,39845.55078125
20240124,40077.07421875
20240125,39933.80859375
20240126,41816.87109375
20240129,43288.24609375
20240130,42952.609375
20240131,42582.60546875
20240201,43075.7734375
20240202,43185.859375
20240205,42658.66796875
20240206,43084.671875
20240207,44318.22265625
20240208,45301.56640625
20240209,47147.19921875
20240212,49958.22265625
20240213,49742.44140625
20240214,51826.6953125
20240215,51938.5546875
20240216,52160.203125
20240219,51779.14453125
20240220,52284.875
20240221,51839.1796875
20240222,51304.97265625
20240223,50731.94921875
20240226,54522.40234375
20240227,57085.37109375
20240228,62504.7890625
20240229,61198.3828125
20240301,62440.6328125
20240304,68330.4140625
20240305,63801.19921875
20240306,66106.8046875
20240307,66925.484375
20240308,68300.09375
20240311,72123.90625
20240312,71481.2890625
20240313,73083.5
20240314,71396.59375
20240315,69403.7734375
20240318,67548.59375
20240319,61912.7734375
20240320,67913.671875
20240321,65491.390625
20240322,63778.76171875
20240325,69958.8125
20240326,69987.8359375
20240327,69455.34375
20240328,70744.953125
20240329,69892.828125
20240401,69702.1484375
20240402,65446.97265625
20240403,65980.8125
20240404,68508.84375
20240405,67837.640625
20240408,71631.359375
20240409,69139.015625
20240410,70587.8828125
20240411,70060.609375
20240412,67195.8671875
20240415,63426.2109375
20240416,63811.86328125
20240417,61276.69140625
20240418,63512.75390625
20240419,63843.5703125
20240422,66837.6796875
20240423,66407.2734375
20240424,64276.8984375
20240425,64481.70703125
20240426,63755.3203125
20240429,63841.12109375
20240430,60636.85546875
20240501,58254.01171875
20240502,59123.43359375
20240503,62889.8359375
20240506,63161.94921875
20240507,62334.81640625
20240508,61187.94140625
20240509,63049.9609375
20240510,60792.77734375
20240513,62901.44921875
20240514,61552.7890625
20240515,66267.4921875
20240516,65231.58203125
20240517,67051.875
20240520,71448.1953125
20240521,70136.53125
20240522,69122.3359375
20240523,67929.5625
20240524,68526.1015625
20240527,69394.5546875
20240528,68296.21875
20240529,67578.09375
20240530,68364.9921875
20240531,67491.4140625
20240603,68804.78125
20240604,70567.765625
20240605,71082.8203125
20240606,70757.1640625
20240607,69342.5859375
20240610,69512.28125
20240611,67332.03125
20240612,68241.1875
20240613,66756.3984375
20240614,66011.09375
20240617,66490.296875
20240618,65140.74609375
20240619,64960.296875
20240620,64828.65625
20240621,64096.19921875
20240624,60277.4140625
20240625,61804.640625
20240626,60811.27734375
20240627,61604.80078125
20240628,60320.13671875
20240701,62851.98046875
20240702,62029.015625
20240703,60173.921875
20240704,56977.703125
20240705,56662.375
20240708,56705.09765625
20240709,58009.2265625
20240710,57742.49609375
20240711,57344.9140625
20240712,57899.46484375
20240715,64870.15234375
20240716,65097.1484375
20240717,64118.79296875
20240718,63974.06640625
20240719,66710.15625
20240722,67585.25
20240723,65927.671875
20240724,65372.1328125
20240725,65777.2265625
20240726,67912.0625
20240729,66819.9140625
20240730,66201.015625
20240731,64619.25
20240801,65357.5
20240802,61415.06640625
20240805,53991.45703125
20240806,56034.31640625
20240807,55027.4609375
20240808,61710.13671875
20240809,60880.11328125
20240812,59354.515625
20240813,60609.56640625
20240814,58737.26953125
20240815,57560.09765625
20240816,58894.10546875
20240819,59493.453125
20240820,59012.79296875
20240821,61175.19140625
20240822,60381.9140625
20240823,64094.35546875
20240826,62880.66015625
20240827,59504.1328125
20240828,59027.625
20240829,59388.1796875
20240830,59119.4765625
